🕘️更新时间,#genre#
2026-07-19 08:22:16,http://120.76.248.139/live/bfgd/4200000201.m3u8

📺央视频道,#genre#
CCTV-1,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3125&tk=a0c4f6cfaba3
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6373&tk=a0c4f6cfaba3
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4555&tk=a0c4f6cfaba3
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2633&tk=a0c4f6cfaba3
CCTV-2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6999&tk=f6cc1e0a0e1a
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4755&tk=e640d0a1bf70
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2159&tk=f6cc1e0a0e1a
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6743&tk=aa0698566417
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1143&tk=a0c4f6cfaba3
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6402&tk=a0c4f6cfaba3
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1560&tk=a0c4f6cfaba3
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8147&tk=a0c4f6cfaba3
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8835&tk=b53028476470
CCTV-3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2635&tk=a0c4f6cfaba3
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4602&tk=a0c4f6cfaba3
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9128&tk=a0c4f6cfaba3
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9659&tk=a0c4f6cfaba3
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5457&tk=a0c4f6cfaba3
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2630&tk=a0c4f6cfaba3
CCTV-3,http://8.138.7.223/tv/mgitv.php?id=16
CCTV-3,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://dd.ddzb.fun/php/migu.php?id=cctv3
CCTV-4,http://drive.mxmy.net:8888/udp/239.3.1.213:4220
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
